phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	O	O	O	O	O	O	O	O	O	O	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_601	0.105993336	0.509104857	1.581463957	0.099677305	0.055952549	0.092665414	0.085348199	1.113021436	1.570347685	0.070547991	1.403887835	0.159786442	2.205798135	0.228611477	0.157777356	0.142869631	0.266432596	0.088141905	0.297079707	0.345524176	0.592870363	1.019691636	0.345774871	0.08811861	0.101974358	0.060942597	0.100217831	0.112255248
ivig_1166	0.258978064	0.552852326	1.624987979	0.198982129	0.11357551	0.081940081	0.160154815	1.332551577	2.067351055	0.017237293	1.145575169	0.45648297	2.269872418	0.476547551	0.243295972	0.122177824	0.284617217	0.103373231	0.23940896	0.139735289	0.835789987	1.029540371	0.323634349	0.17886792	0.079730663	0.129049839	0.108829567	0.109711225
ivig_2174	0.292816719	2.056401573	0.403804958	2.249815813	0.28536787	0.255997062	0.565878135	0.461224212	1.27561363	0.438515023	1.287857115	4.054321736	10.83329446	0.940716811	0.406816687	1.036063896	0	1.022701833	0.17278128	0.39498354	0.059558583	8.238048507	0.833936299	1.797681819	0.169028345	1.262698105	0.646009782	0.620231701
ivig_2749	0.090984877	0.608346913	2.360432045	0.083970253	0.062346339	0.042612945	0.052749398	2.203436626	2.396251982	0.034064171	1.338920073	0.218402483	3.640404628	0.361260953	0.213312292	0.068984751	0.239343736	0.085118823	0.392586995	0.322167442	0.99933583	1.549186822	0.584793844	0.144009167	0.059086111	0.098087323	0.09678057	0.036135043
ivig_2899	0.091344417	0.60202587	2.304807746	0.059628296	0.070938404	0.059893871	0.062887441	1.240958729	2.663837042	0.01709939	1.336418479	0.207348926	3.213499749	0.30224044	0.224353094	0.155829047	0.246296775	0.051273109	0.358766967	0.346543427	0.867423358	1.676744166	0.556951325	0.105147811	0.098865997	0.06893245	0.140346573	0.036277836
ivig_3353	0.021052967	0.56765734	1.246596297	0.085301801	0.063475732	0.078881585	0.210547796	1.144059532	1.182369553	0.031528398	1.98160177	0.243891578	1.397835335	0.4043856	0.153559077	0.215491904	0.454129806	0.094538985	0.23758311	0.362081732	0.497799837	0.762143776	0.322140335	0.405925506	0.054687678	0.081707039	0.059717414	0.033445112
uvig_851	0.457671739	0.564942284	8.660052126	0.310648459	0.476050404	0.646352078	0.770505952	0.499079211	0.447668004	0.632674887	0.552617848	4.137229915	0.418658487	0.420551665	0.964261171	0.800784922	0.518622822	0.948548688	0.99713233	0.64110275	0.150375999	0.288018958	0.350014705	0.121576665	0.548704064	1.123430271	0.466020711	0.447424832
uvig_861	0.871799729	0.516628415	1.67455371	0.358840169	0.682732252	1.353253045	1.371894102	0.58851315	1.715639782	0.559536666	0.821640353	2.391646754	4.68997142	1.437022461	1.038180409	2.455138104	1.048386744	0.372842202	0.661396688	0.755987007	0.151991194	2.105714342	0.193470281	0	1.509738234	1.933413956	2.119618169	0.791403623
uvig_1270	9.26037504	65.48183211	96.0930263	52.28792473	1.937067305	0.251096118	8.106175009	3.166760029	14.80526677	0.182475091	68.1475534	66.96630865	26.08174499	11.72700632	0.870607357	0	0.769270499	0.182385943	6.309034831	24.16103007	10.22321331	105.5154794	68.31206887	33.24157229	0	2.574629386	0.230415355	1.161410069
