phage	coverage
uvig_561731	0.215301
uvig_148830	0.121835
uvig_422536	0.196396
uvig_561733	0.16547
uvig_561736	0.189778
uvig_561737	0.183875
uvig_289420	0.633779
uvig_303783	0.181707
uvig_289421	0.171123
uvig_148839	0.189936
uvig_303784	0.108421
uvig_174421	0.183368
uvig_303786	0.196297
uvig_518934	0.432604
uvig_303789	0.347212
uvig_368155	0.129493
uvig_1949	0.203274
uvig_81626	0.144698
uvig_570112	0.167124
uvig_83015	0.111708
uvig_570115	0.1175
uvig_310773	0.21515
uvig_570117	0.159783
uvig_310775	0.111068
uvig_181411	0.210017
uvig_38825	0.333303
uvig_310777	0.121958
uvig_310779	0.292826
uvig_181418	0.239343
ivig_2141	0.209972
ivig_2143	0.242466
uvig_64419	0.317071
ivig_2147	0.551641
uvig_279202	0.143574
uvig_434150	0.151018
uvig_408569	0.160575
uvig_90007	0.280952
uvig_571960	0.11611
uvig_280596	0.917168
uvig_24394	0.105276
uvig_547767	0.115088
uvig_547768	0.143671
uvig_434153	0.104531
uvig_432767	0.339749
uvig_24398	0.204186
uvig_71400	0.136251
uvig_399801	0.437804
uvig_399805	0.207477
uvig_415555	0.397503
uvig_399806	0.23491
uvig_28602	0.207605
uvig_263388	0.176537
uvig_31386	0.23111
uvig_230202	0.100492
uvig_230203	0.124492
uvig_303795	0.16985
uvig_368161	0.141145
uvig_303796	0.420345
uvig_211601	0.10294
uvig_174435	0.152569
uvig_1956	0.110183
uvig_211605	0.134695
uvig_405336	0.172892
uvig_81630	0.19571
uvig_83021	0.635417
uvig_157221	0.117297
uvig_527320	0.184276
uvig_310787	0.646897
uvig_527321	0.11771
uvig_310789	0.150354
uvig_64421	0.336481
ivig_2154	0.668731
ivig_2155	0.133824
uvig_590578	0.289756
uvig_162820	0.189261
uvig_277824	0.146126
uvig_9094	0.636695
uvig_162824	0.133798
uvig_434160	0.17976
uvig_45821	0.146177
uvig_547777	0.184976
uvig_571972	0.309022
uvig_497142	0.134376
uvig_71414	0.101926
uvig_145614	0.207063
uvig_184668	0.185654
uvig_91861	0.114297
uvig_286204	0.148218
uvig_221839	0.136581
uvig_415569	0.100401
uvig_31396	0.116517
uvig_286209	0.125142
uvig_131182	0.26821
uvig_131184	0.103318
uvig_131185	0.165771
uvig_246187	0.146035
uvig_204627	0.108595
uvig_537557	0.133124
uvig_561752	0.209727
uvig_563141	0.10354
uvig_211610	0.1049
uvig_405340	0.144415
uvig_211611	0.122582
uvig_392370	0.205054
uvig_405343	0.128567
uvig_253178	0.444525
uvig_392378	0.111661
uvig_81646	0.101484
uvig_570131	0.324427
uvig_155843	0.361415
uvig_157231	0.175116
uvig_310790	0.110002
uvig_309400	0.169754
uvig_157234	0.277503
uvig_157236	0.116789
uvig_181431	0.320821
uvig_38845	0.706596
uvig_181433	0.338127
uvig_181435	0.173776
uvig_64431	0.228392
uvig_375167	0.221701
uvig_181439	0.218857
ivig_2165	0.144317
uvig_162831	0.273118
uvig_138637	0.220338
ivig_2168	0.210774
ivig_2169	0.108294
uvig_434170	0.110585
uvig_547789	0.240909
uvig_434176	0.141398
uvig_47226	0.108983
uvig_47228	0.233172
uvig_184671	0.430177
uvig_415575	0.154935
uvig_441161	0.282182
uvig_554778	0.320753
uvig_441164	0.749226
uvig_441168	0.596025
uvig_204634	0.114947
uvig_191667	0.136215
uvig_537568	0.14694
uvig_148861	0.223587
uvig_253180	0.115664
uvig_518967	0.332872
uvig_405352	0.109739
uvig_544550	0.100539
uvig_211625	0.120173
uvig_392384	0.693901
uvig_544555	0.178771
uvig_465829	0.129145
uvig_81656	0.133408
uvig_157247	0.505659
uvig_472811	0.134682
uvig_587814	0.545736
uvig_472817	0.201843
uvig_138643	0.437792
ivig_2174	0.922215
uvig_472818	0.159103
ivig_2176	0.41545
uvig_408597	0.365943
uvig_316400	0.380635
uvig_277847	0.179162
uvig_277848	0.123804
uvig_434181	0.211617
uvig_201403	0.1049
uvig_432798	0.219605
uvig_47235	0.107011
uvig_71430	0.195004
uvig_201409	0.112874
uvig_573387	0.106726
uvig_47239	0.310937
uvig_184681	0.126907
uvig_594806	0.173604
uvig_184682	0.282137
uvig_399831	0.117887
uvig_145636	0.258552
uvig_399838	0.108985
uvig_300587	0.110738
uvig_147029	0.325543
uvig_300588	0.162811
uvig_441176	0.1081
uvig_167478	0.129435
uvig_37011	0.30699
uvig_230235	0.18369
uvig_154019	0.295788
uvig_37013	0.354694
uvig_230237	0.22287
uvig_293216	0.341279
uvig_148875	0.133655
uvig_74679	0.112195
uvig_148877	0.15923
uvig_57460	0.139952
uvig_1985	0.172689
uvig_253197	0.101593
uvig_276001	0.237778
uvig_213023	0.243222
uvig_465835	0.121338
uvig_389618	0.162065
uvig_544567	0.189424
uvig_157257	0.632189
uvig_309428	0.113157
uvig_333624	0.110653
uvig_335012	0.447083
uvig_472828	0.173697
uvig_279241	0.263775
