amp.id	length
uvig_51406_1	196
uvig_51406_2	52
uvig_51406_3	200
uvig_51406_4	125
uvig_51406_5	60
uvig_51406_6	100
uvig_51406_7	282
uvig_51406_8	97
uvig_51406_9	101
uvig_51406_10	160
uvig_51406_12	212
uvig_51406_13	196
uvig_51406_14	247
uvig_51406_15	55
uvig_51406_18	226
uvig_51406_20	223
uvig_51406_21	99
uvig_51406_22	111
uvig_51406_23	278
uvig_51406_24	81
uvig_51406_25	157
uvig_52699_1	37
uvig_52699_2	218
uvig_52699_3	257
uvig_52699_4	62
uvig_52699_5	190
uvig_52699_6	144
uvig_52699_7	102
uvig_52699_8	107
uvig_52699_9	163
uvig_52699_10	75
uvig_52699_11	161
uvig_52699_12	117
uvig_52699_13	221
uvig_52699_15	228
uvig_52699_16	139
uvig_52699_17	62
uvig_52699_18	29
uvig_52699_20	69
uvig_52699_21	138
uvig_52699_22	74
uvig_55294_3	80
uvig_55294_4	160
uvig_55294_5	80
uvig_55294_6	242
uvig_55294_7	108
uvig_55294_8	142
uvig_55294_9	178
uvig_55294_10	274
uvig_55294_11	101
uvig_55294_12	228
uvig_55294_13	159
uvig_55294_14	139
uvig_55294_15	69
uvig_55294_18	274
uvig_55870_1	91
uvig_55870_2	60
uvig_55870_3	56
uvig_55870_4	131
uvig_55870_5	135
uvig_55870_6	81
uvig_55870_7	126
uvig_55870_8	74
uvig_55870_9	86
uvig_55870_10	155
uvig_55870_11	106
uvig_55870_12	237
uvig_55870_13	119
uvig_55870_14	132
uvig_55870_15	256
uvig_55870_16	164
uvig_55870_17	65
uvig_55870_18	56
uvig_55870_19	102
uvig_55870_20	33
uvig_55870_21	47
uvig_55870_22	68
uvig_55870_23	60
uvig_55870_24	96
uvig_55870_25	75
uvig_55870_26	118
uvig_55870_27	71
uvig_55870_28	70
uvig_55870_29	117
uvig_55870_30	138
uvig_55870_33	46
uvig_55870_34	96
uvig_55870_35	104
uvig_55870_37	33
uvig_55870_38	84
uvig_55870_41	114
uvig_55870_43	122
uvig_55870_44	48
uvig_55870_45	235
uvig_55870_47	124
uvig_55870_48	205
uvig_55870_49	166
uvig_55870_50	106
uvig_55870_51	129
uvig_55870_52	105
uvig_55870_54	259
uvig_55870_57	121
uvig_55870_58	56
uvig_64107_2	187
uvig_64107_4	126
uvig_64107_6	63
uvig_64107_7	257
uvig_64107_8	45
uvig_64107_9	131
uvig_64107_11	292
uvig_64107_12	85
uvig_64107_13	153
uvig_64107_14	114
uvig_64107_15	140
